key,value,group,index
blog.samaltman.com,225,10,0
teslamotors.com,150,10,1
blog.ycombinator.com,123,10,2
marc.info,111,10,3
stripe.com,106,10,4
atom.io,95,10,5
homakov.blogspot.com,82,10,6
blog.mozilla.org,69,10,7
googleblog.blogspot.com,69,10,8
mail.mozilla.org,66,10,9
code.facebook.com,64,20,0
microsoft.com,63,20,1
muckrock.com,63,20,2
inessential.com,58,20,3
blog.42floors.com,58,20,4
openculture.com,56,20,5
article.gmane.org,54,20,6
firstlook.org,54,20,7
tbray.org,52,20,8
blog.erratasec.com,52,20,9
blog.coinbase.com,50,30,0
mtgox.com,50,30,1
jeffknupp.com,49,30,2
bhorowitz.com,49,30,3
cdixon.org,48,30,4
daringfireball.net,48,30,5
worrydream.com,47,30,6
marco.org,45,30,7
sivers.org,44,30,8
rollingstone.com,44,30,9
antipope.org,40,40,0
jeffarchibald.ca,40,40,1
aclu.org,40,40,2
nbviewer.ipython.org,40,40,3
lists.gnu.org,39,40,4
blog.codinghorror.com,39,40,5
m.theatlantic.com,38,40,6
ux.stackexchange.com,37,40,7
schneier.com,37,40,8
blog.docker.io,37,40,9
developer.mozilla.org,36,50,0
prog21.dadgum.com,35,50,1
oracle.com,35,50,2
makezine.com,35,50,3
paulgraham.com,34,50,4
plus.google.com,34,50,5
blogs.technet.com,34,50,6
bitcointalk.org,34,50,7
eff.org,33,50,8
nplusonemag.com,32,50,9
steamcommunity.com,31,60,0
smithsonianmag.com,31,60,1
hanselman.com,31,60,2
hackerfactor.com,31,60,3
hosted.ap.org,31,60,4
onthemedia.org,30,60,5
shkspr.mobi,30,60,6
apple.com,30,60,7
objc.io,30,60,8
math.stackexchange.com,29,60,9
lists.debian.org,29,70,0
simonsfoundation.org,29,70,1
danielmiessler.com,29,70,2
blog.regehr.org,29,70,3
blog.torproject.org,28,70,4
msdn.microsoft.com,28,70,5
norvig.com,28,70,6
aljazeera.com,28,70,7
new.livestream.com,27,70,8
tympanus.net,27,70,9
facebook.com,27,80,0
aws.amazon.com,27,80,1
blog.zactownsend.com,26,80,2
modelviewculture.com,26,80,3
cryptome.org,26,80,4
blog.sourcing.io,26,80,5
news.netcraft.com,26,80,6
scribd.com,26,80,7
blog.stackoverflow.com,25,80,8
rockpapershotgun.com,25,80,9
pastebin.com,25,90,0
tedunangst.com,24,90,1
business.time.com,24,90,2
america.aljazeera.com,24,90,3
micheleincalifornia.blogspot.com,24,90,4
google.com,24,90,5
nathanbarry.com,23,90,6
news.ycombinator.com,23,90,7
coreos.com,23,90,8
blog.balancedpayments.com,23,90,9
datagenetics.com,23,100,0
googlecloudplatform.blogspot.com,23,100,1
hacks.mozilla.org,23,100,2
blogs.reuters.com,22,100,3
bloombergview.com,22,100,4
priceonomics.com,22,100,5
sec.gov,22,100,6
randsinrepose.com,22,100,7
newrepublic.com,22,100,8
blog.close.io,22,100,9
