karma,distribution,centile
0,69680,50.8
10,15562,62.1
20,7208,67.4
30,4721,70.8
40,3379,73.3
50,2621,75.2
60,2116,76.8
70,1940,78.2
80,1545,79.3
90,1380,80.3
100,1228,81.2
110,1062,82
120,951,82.7
130,921,83.3
140,819,83.9
150,719,84.5
160,690,85
170,606,85.4
180,624,85.9
190,588,86.3
200,532,86.7
210,545,87.1
220,456,87.4
230,444,87.7
240,442,88.1
250,381,88.3
260,380,88.6
270,367,88.9
280,353,89.1
290,343,89.4
300,298,89.6
310,314,89.8
320,276,90
330,251,90.2
340,294,90.4
350,252,90.6
360,248,90.8
370,224,91
380,241,91.1
390,212,91.3
400,219,91.4
410,221,91.6
420,156,91.7
430,185,91.9
440,184,92
450,179,92.1
460,158,92.2
470,149,92.3
480,160,92.5
490,145,92.6
500,169,92.7
510,150,92.8
520,158,92.9
530,134,93
540,154,93.1
550,141,93.2
560,136,93.3
570,130,93.4
580,137,93.5
590,121,93.6
600,116,93.7
610,130,93.8
620,114,93.9
630,107,94
640,125,94
650,107,94.1
660,122,94.2
670,96,94.3
680,91,94.3
690,95,94.4
700,110,94.5
710,99,94.6
720,75,94.6
730,112,94.7
740,98,94.8
750,104,94.9
760,76,94.9
770,78,95
780,80,95
790,74,95.1
800,78,95.1
810,86,95.2
820,68,95.2
830,73,95.3
840,67,95.3
850,65,95.4
860,85,95.5
870,72,95.5
880,59,95.6
890,71,95.6
900,57,95.6
910,59,95.7
920,71,95.7
930,48,95.8
940,48,95.8
950,56,95.9
960,45,95.9
970,54,95.9
980,47,96
990,48,96
1000,46,100
